# name, tgt sunk, tgt tons, subsDmgd, subsSunk, subsSpotted, subsRTB, subsPromoted
U-0(5-3-3),1,9,0,0,0,0,0
U-1(5-3-3),1,1,0,0,0,0,0
U-2(5-3-3),0,0,0,0,0,0,0
U-3(5-3-3),2,11,0,0,0,0,0
U-4(5-3-3),0,0,0,0,0,0,0
U-5(5-3-3),1,3,0,0,0,0,0
U-6(5-3-3),1,4,0,0,0,0,0
U-7(5-3-3),1,7,0,0,1,0,0
U-8(5-3-3),1,4,0,0,0,0,0
U-9(5-3-3),1,1,1,0,0,0,0
U-10(5-3-3),2,10,0,0,0,0,0
U-11(5-3-3),0,0,0,0,0,0,0
U-12(5-3-3),1,7,0,0,0,0,0
U-13(5-3-3),1,7,0,0,0,0,0
U-14(5-3-3),1,5,0,0,0,0,0
U-15(5-3-3),1,7,0,0,0,0,0
U-16(5-3-3),1,8,0,0,0,0,0
U-17(5-3-3),1,7,0,0,0,0,0
U-18(5-3-3),0,0,0,0,1,0,0
U-19(5-3-3),1,7,0,0,0,0,0
U-20(5-3-3),1,5,0,0,0,0,0
U-21(5-3-3),2,8,0,0,0,0,0
U-22(5-3-3),1,4,0,0,0,0,0
U-23(5-3-3),0,0,0,0,0,0,0
U-24(5-3-3),3,8,0,0,0,0,0
U-25(5-3-3),1,3,0,0,0,0,0
U-26(5-3-3),0,0,0,0,0,0,0
U-27(5-3-3),2,16,0,0,0,0,0
U-28(5-3-3),3,14,0,0,0,0,0
U-29(5-3-3),1,5,0,0,0,0,0
U-30(5-3-3),0,0,1,0,0,0,0
U-31(5-3-3),1,7,0,0,0,0,0
U-32(5-3-3),2,6,0,0,0,0,0
U-33(5-3-3),1,7,0,0,0,0,0
U-34(5-3-3),0,0,0,0,0,0,0
U-35(5-3-3),1,4,0,0,0,0,0
U-36(5-3-3),3,15,0,0,0,0,0
U-37(5-3-3),2,15,0,0,0,0,0
U-38(5-3-3),0,0,0,0,0,0,0
U-39(5-3-3),2,8,0,0,0,0,0
U-40(5-3-3),1,3,0,0,0,0,0
U-41(5-3-3),1,5,0,0,0,0,0
U-42(5-3-3),0,0,0,0,0,0,0
U-43(5-3-3),0,0,0,0,0,0,0
U-44(5-3-3),1,5,0,0,0,0,0
U-45(5-3-3),2,10,0,0,0,0,0
U-46(5-3-3),2,11,0,0,0,0,0
U-47(5-3-3),1,9,0,0,0,0,0
U-48(5-3-3),0,0,0,0,0,0,0
U-49(5-3-3),1,5,0,0,0,0,0
U-50(5-3-3),0,0,0,0,0,0,0
U-51(5-3-3),1,12,0,0,0,0,0
U-52(5-3-3),2,7,0,0,0,0,0
